unix_timestamp,Agile Import price (p/kWh),Agile Export price (p/kWh),Asset_load,New_asset_load,New_asset_load_rolling,Carbon Intensity,Carbon Optimised Emission,Carbon Unoptimised Emission,Carbon Optimised Cost Savings,Price Optimised Cost,Price Unoptimised Cost,Price Optimised Emission Savings
1717592400,5.46,3.22,1,1,1.01,60.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717594200,4.62,2.85,1,1,1.01,74.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717596000,6.72,3.79,1,1,1.01,71.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717597800,8.23,4.46,1,1,1.01,75.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717599600,23.94,11.19,1,1,1.01,86.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717601400,25.62,11.94,1,1,1.01,100.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717603200,29.4,13.63,1,1,1.01,137.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717605000,30.24,14.01,1,1,1.01,157.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717606800,34.02,15.7,1,0,1.01,174.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717608600,33.18,15.32,1,1,1.01,187.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717610400,22.18,10.71,1,1,1.01,199.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717612200,22.18,10.71,1,1,1.01,206.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717614000,22.05,10.65,1,1,1.01,204.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717615800,21.84,10.56,1,1,1.01,201.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717617600,21.97,10.61,1,1,1.01,196.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717619400,20.58,9.99,1,1,1.01,182.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717621200,20.16,9.8,1,1,1.01,157.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717623000,16.57,8.2,1,1,1.01,140.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717624800,16.0,7.94,1,0,1.01,138.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717626600,15.54,7.74,1,1,1.01,133.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717628400,13.65,6.89,1,1,1.01,111.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717630200,13.57,6.85,1,1,1.01,117.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717632000,13.88,6.99,1,1,1.01,117.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
